battery_cycle_count,average_cpu_temp_c,disk_read_error_rate,device_age_months
112,44.00970159882393,0.00233241488176712,32
445,65.35559255137593,0.07257991554851247,14
870,45.64881676810602,0.012502696763982097,27
280,63.49120634665865,0.017607094149710924,25
116,74.38926719024334,0.041462094115811705,13
81,73.60606416192304,0.05680918130698235,21
710,78.43203418248258,0.007658324379551784,45
30,45.525167461368326,0.025415575803772975,31
624,77.82314824076539,0.07749396844594857,37
131,58.10458728839393,0.020987437342475657,43
476,63.144664875952444,0.02504401160505175,5
224,89.76320272751694,0.06691987924944268,13
340,40.523763439513914,0.0040171545352364205,28
468,74.12793273375512,0.03716905350471767,43
97,74.72541084580624,0.03036934115613362,25
382,63.0062670279266,0.02532694079269209,35
109,53.7476157122835,0.022855967523581162,47
881,53.61109421916996,0.007309928388832736,39
673,91.25516084032365,0.025186066348131905,7
140,65.63741367940574,0.0034441922172534856,38
671,59.19158305337197,0.06247710909155482,32
318,66.02909928222138,0.031858223516640936,3
779,78.82464328464296,0.03551230658559293,45
353,48.4538809581956,0.07148756691601053,39
501,66.06716244239679,0.05264439870889766,37
423,74.09729352440245,0.0006447282673695831,22
815,95.01783458138316,0.0754539858369028,8
395,54.646611360374315,0.018971557278216897,17
201,60.83654337914224,0.008609134780788707,27
286,62.002798215500576,0.06145025427047058,33
170,75.12121314340321,0.04003818526933745,46
469,60.690459076320096,0.03470164528144141,17
323,70.94369166738234,0.019960246374619343,42
31,85.3438391310117,0.04379771918898549,12
262,80.91236445850781,0.021950768416206995,46
757,65.88938149772996,0.0721266404229654,27
866,90.1245383051018,0.017216358378655424,8
570,72.37213447644405,0.07074841203646029,23
484,71.31453869112832,0.04475243405818856,42
68,41.98289042447117,0.06627905071161928,29
520,97.22819286071537,0.057027679668876397,20
691,47.13230689471835,0.05573560891493989,16
485,53.4055929208035,0.02594766461560446,17
709,42.998416560008565,0.018711754517776277,16
792,77.120172076541,0.01687089821446305,19
199,53.03266826441544,0.0685753325647671,8
696,50.44060537341796,0.0656341456207216,38
572,45.136223884948,0.035245882240984586,38
885,45.99191951319291,0.010592369079716368,29
576,73.91090062567015,0.03058018015819667,41
253,79.91605622026253,0.04954747633095291,36
841,63.04798133093526,0.036352252358396224,26
514,67.83403073234025,0.0624151414786396,31
140,79.78612868701308,0.07980982578011084,44
494,41.00802783075782,0.015290567075911747,12
828,58.741578110076155,0.03677206557276579,17
656,96.43966938808009,0.03447871215366576,15
30,73.64650932233715,0.024359402619916065,9
850,54.745025634054606,0.015847641337623168,39
176,70.26034270490037,0.005255369319172738,42
283,59.87390231101309,0.07096954537789588,12
397,70.87020935192535,0.03358789581490541,32
610,47.293007684785636,0.03975164148000391,25
325,47.697449921518086,0.07335536385607327,39
23,48.325456998284785,0.06210323820127583,18
251,94.50954793175681,0.010440101129374737,15
786,82.50813726379782,0.04523359740861939,32
355,49.41814989041461,0.035380182121564734,6
574,50.924246858404885,0.06377688580630102,44
907,82.38810954251083,0.057938603808955935,43
349,49.05750299794609,0.05523245775288576,35
101,53.60455501342006,0.027243586838391752,34
376,95.87411630358314,0.06439709843194036,38
464,54.807778434249045,0.004191303647588898,5
437,78.37467632152651,0.01276999211457338,18
518,96.76061466923076,0.026849861838232937,16
785,61.70921249410797,0.006144595285542502,8
44,41.01592746999961,0.018799542202775327,25
215,54.160542844497705,0.06641207863983345,32
90,88.19087709781891,0.07586012302320634,26
941,90.14731248539212,0.02436818846193524,22
571,84.57412314237989,0.02116126431910706,31
881,46.56036950644123,0.022391412179714153,43
397,86.13960155839138,0.022217526988067508,10
11,93.28331222562325,0.0028744145748778394,12
399,74.8353534676817,0.07415330770648865,28
575,94.57077066760776,0.01709585132562627,6
115,87.9566552552889,0.033600325926512395,20
781,78.68434798547263,0.0007749506192774192,5
831,73.4767437292814,0.06863640727320458,23
486,60.217272700034286,0.058492587556393374,9
712,49.2386718240827,0.07574048281389625,29
411,75.08732751605137,0.06252923833571193,16
739,58.45047010985093,0.02509652096416522,46
565,90.25344271660343,0.01982986869827389,22
171,97.61354236680046,0.055817304604263436,8
211,83.64081023170321,0.029129022000839954,20
279,45.24793832664894,0.04529720126020933,14
872,56.74376454077701,0.0005005976821176183,39
825,46.328358642413484,0.00495085613443802,37
280,77.72967557191951,0.0428294352945321,34
465,84.38107014423551,0.045285731715853206,11
471,93.68914019108128,0.06011623555674749,40
736,65.41399609189529,0.01055722556991694,33
261,92.27978767612977,0.041054646700542305,31
711,90.917687224397,0.015555811554535089,44
305,58.39735157239312,0.007455689565015576,34
734,90.39623628135313,0.03283966352484437,7
729,61.788990609140136,0.01306693184712458,23
758,57.218417924496286,0.01774255825538549,46
347,77.6463302100748,0.025404366389560142,7
888,59.046111217334705,0.0207510720594557,25
62,76.55210740309036,0.007007303792475712,3
801,75.37024471892428,0.007193299588776183,38
931,72.6794577862106,0.015459953218733453,20
226,62.06434284550227,0.004044735036763117,34
773,71.81298385578565,0.05011656157415417,44
197,74.59615754915446,0.02298613732071216,44
389,71.64983953273746,0.022379677421525683,30
502,65.7763282595697,0.026559863539021213,17
50,40.8506893086833,0.05302370193677773,10
166,74.04957904666675,0.06965071051867924,35
24,49.76977433827774,0.06072695460445107,20
822,77.26940619893699,0.0582023384180076,18
74,84.04197101952623,0.03875129484806794,45
866,69.025827929583,0.055504444557392944,44
848,71.45709256882482,0.04422098944268665,27
530,95.18575646062749,0.017300042254922314,36
353,89.13570695960931,0.016687069419284058,23
138,93.02571792518526,0.023711360550022677,32
657,87.19844472253601,0.07286421367758507,10
